티커,종목,ISIN,시장
075970,동국알앤에스,KR7075970004,KSQ
460860,동국제강,KR7460860000,STK
086450,동국제약,KR7086450004,KSQ
001230,동국홀딩스,KR7001230002,STK
023450,동남합성,KR7023450000,STK
004140,동방,KR7004140000,STK
240550,동방메디컬,KR7240550004,KSQ
099410,동방선기,KR7099410003,KSQ
007590,동방아그로,KR7007590003,STK
005960,동부건설,KR7005960000,STK
005965,동부건설우,KR7005961008,STK
026960,동서,KR7026960005,STK
002210,동성제약,KR7002210003,STK
102260,동성케미컬,KR7102260007,STK
033500,동성화인텍,KR7033500000,KSQ
025950,동신건설,KR7025950007,KSQ
000640,동아쏘시오홀딩스,KR7000640003,STK
170900,동아에스티,KR7170900005,STK
